"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SauceDemo","0","Авторизация","4","0","Успешный вход","0"
"0","SauceDemo","1","Каталог","0","0","Отображение","0"
"0","SauceDemo","0","Каталог","2","0","Корзина","0"
"0","SauceDemo","0","Оформление заказа","1","0","Сквозной сценарий","0"
"0","SauceDemo","0","Корзина","2","0","Состав корзины","0"
"0","SauceDemo","0","Авторизация","1","0","Производительность","0"
"0","SauceDemo","0","Каталог","4","0","Сортировка","0"
"0","SauceDemo","0","Оформление заказа","3","0","Валидация формы","0"
"0","SauceDemo","0","Авторизация","1","0","Неверные данные","0"
"0","SauceDemo","0","Дефекты стенда","0","2","problem_user","0"
"0","SauceDemo","0","Авторизация","2","0","Валидация формы","0"
"0","SauceDemo","0","Корзина","1","0","Навигация","0"
"0","SauceDemo","0","Авторизация","1","0","Заблокированный пользователь","0"
"0","SauceDemo","0","Оформление заказа","1","0","Расчёт сумм","0"
