"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104","Сортировка по имени «za» выстраивает товары верно","tests","Sun Sep 20 11:56:15 UTC 2026","passed","Sun Sep 20 11:56:15 UTC 2026","TestInventory","test_inventory","",""
"","151","Пустая корзина не содержит позиций","tests","Sun Sep 20 11:56:12 UTC 2026","passed","Sun Sep 20 11:56:13 UTC 2026","TestCart","test_cart","",""
"","402","BUG-102: у problem_user не работает сортировка","tests","Sun Sep 20 11:56:15 UTC 2026","skipped","Sun Sep 20 11:56:15 UTC 2026","TestKnownDefects","test_inventory","",""
"","424","Пропущенное поле «фамилия» блокирует оформление","tests","Sun Sep 20 11:56:12 UTC 2026","passed","Sun Sep 20 11:56:12 UTC 2026","TestCheckout","test_checkout","",""
"","278","Неверный пароль не пускает в систему","tests","Sun Sep 20 11:56:16 UTC 2026","passed","Sun Sep 20 11:56:16 UTC 2026","TestLogin","test_login","",""
"","112","Сортировка по цене «lohi» выстраивает товары верно","tests","Sun Sep 20 11:56:14 UTC 2026","passed","Sun Sep 20 11:56:14 UTC 2026","TestInventory","test_inventory","",""
"","149","Сортировка по цене «hilo» выстраивает товары верно","tests","Sun Sep 20 11:56:14 UTC 2026","passed","Sun Sep 20 11:56:14 UTC 2026","TestInventory","test_inventory","",""
"","671","Полный путь от каталога до подтверждения заказа","tests","Sun Sep 20 11:56:13 UTC 2026","passed","Sun Sep 20 11:56:13 UTC 2026","TestCheckout","test_checkout","",""
"","5160","Медленный пользователь всё же доходит до каталога","tests","Sun Sep 20 11:56:17 UTC 2026","passed","Sun Sep 20 11:56:22 UTC 2026","TestLogin","test_login","",""
"","340","Пользователь «error_user» попадает в каталог","tests","Sun Sep 20 11:56:15 UTC 2026","passed","Sun Sep 20 11:56:16 UTC 2026","TestLogin","test_login","",""
"","198","Счётчик корзины растёт при добавлении товаров","tests","Sun Sep 20 11:56:14 UTC 2026","passed","Sun Sep 20 11:56:14 UTC 2026","TestInventory","test_inventory","",""
"","142","Удаление товара возвращает счётчик обратно","tests","Sun Sep 20 11:56:14 UTC 2026","passed","Sun Sep 20 11:56:14 UTC 2026","TestInventory","test_inventory","",""
"","166","Сортировка по имени «az» выстраивает товары верно","tests","Sun Sep 20 11:56:15 UTC 2026","passed","Sun Sep 20 11:56:15 UTC 2026","TestInventory","test_inventory","",""
"","302","Пустое поле «пароль» блокирует вход","tests","Sun Sep 20 11:56:16 UTC 2026","passed","Sun Sep 20 11:56:16 UTC 2026","TestLogin","test_login","",""
"","270","В корзину попадают именно выбранные товары","tests","Sun Sep 20 11:56:12 UTC 2026","passed","Sun Sep 20 11:56:12 UTC 2026","TestCart","test_cart","",""
"","104","В каталоге шесть товаров, у каждого есть имя и цена","tests","Sun Sep 20 11:56:13 UTC 2026","passed","Sun Sep 20 11:56:13 UTC 2026","TestInventory","test_inventory","",""
"","338","Заблокированный пользователь получает понятную ошибку","tests","Sun Sep 20 11:56:16 UTC 2026","passed","Sun Sep 20 11:56:16 UTC 2026","TestLogin","test_login","",""
"","319","Пользователь «problem_user» попадает в каталог","tests","Sun Sep 20 11:56:15 UTC 2026","passed","Sun Sep 20 11:56:16 UTC 2026","TestLogin","test_login","",""
"","603","Итог равен сумме позиций плюс налог 8%","tests","Sun Sep 20 11:56:11 UTC 2026","passed","Sun Sep 20 11:56:12 UTC 2026","TestCheckout","test_checkout","",""
"","283","«Continue shopping» возвращает в каталог без потери корзины","tests","Sun Sep 20 11:56:12 UTC 2026","passed","Sun Sep 20 11:56:12 UTC 2026","TestCart","test_cart","",""
"","488","Пропущенное поле «индекс» блокирует оформление","tests","Sun Sep 20 11:56:13 UTC 2026","passed","Sun Sep 20 11:56:13 UTC 2026","TestCheckout","test_checkout","",""
"","345","Пользователь «standard_user» попадает в каталог","tests","Sun Sep 20 11:56:15 UTC 2026","passed","Sun Sep 20 11:56:15 UTC 2026","TestLogin","test_login","",""
"","268","Пустое поле «логин» блокирует вход","tests","Sun Sep 20 11:56:16 UTC 2026","passed","Sun Sep 20 11:56:16 UTC 2026","TestLogin","test_login","",""
"","314","Пользователь «visual_user» попадает в каталог","tests","Sun Sep 20 11:56:15 UTC 2026","passed","Sun Sep 20 11:56:16 UTC 2026","TestLogin","test_login","",""
"","362","Пропущенное поле «имя» блокирует оформление","tests","Sun Sep 20 11:56:13 UTC 2026","passed","Sun Sep 20 11:56:13 UTC 2026","TestCheckout","test_checkout","",""
"","411","BUG-101: у problem_user все карточки показывают одну картинку","tests","Sun Sep 20 11:56:15 UTC 2026","skipped","Sun Sep 20 11:56:15 UTC 2026","TestKnownDefects","test_inventory","",""
